,Screen Name,Tweet,Date,Compound Score,Positive Score,Negative Score,Neutral Score,Tweets Ago
98,BBCWorld,El Salvador's shackled deportees become friends in adversity https://t.co/30m9g4A9mA,Fri Mar 30 02:24:13 +0000 2018,0.0772,0.24,0.217,0.543,99
99,BBCWorld,Africa's week in pictures: 23-29 March 2018 https://t.co/OaN91YnM2C,Fri Mar 30 02:21:14 +0000 2018,0.0,0.0,0.0,1.0,100
100,CBSNews,"""Palm Sunday Massacre"" killer Christopher Thomas freed after 34 years in prison https://t.co/ZsC1kuB2Ip https://t.co/5MpwHgnDo7",Sat Mar 31 23:02:05 +0000 2018,-0.7096,0.127,0.357,0.516,1
101,CBSNews,"Family in SUV cliff plunge got death threats after viral photo, friend says
https://t.co/cENir7MTra https://t.co/SCetkL9xDq",Sat Mar 31 22:40:01 +0000 2018,-0.5423,0.146,0.306,0.548,2
102,CBSNews,A Boston firefighter has been arrested for allegedly crashing into a police vehicle and fleeing the scene just one… https://t.co/B62zSxkbvU,Sat Mar 31 22:20:01 +0000 2018,-0.4767,0.0,0.154,0.846,3
103,CBSNews,A new “Live to Tell” takes you inside the world of sex trafficking and introduces you to the heroes helping survivo… https://t.co/ppd1KO6xvv,Sat Mar 31 22:00:24 +0000 2018,0.6705,0.224,0.0,0.776,4
104,CBSNews,"A 19,000-pound space station is falling toward Earth and scientists project it may land sometime between Saturday a… https://t.co/AxP8IvUmpR",Sat Mar 31 21:40:30 +0000 2018,-0.1531,0.0,0.086,0.914,5
105,CBSNews,"They say one man's trash is another man's treasure, but for one New Yorker,  trash isn't just an inspiration… https://t.co/IVqitutorh",Sat Mar 31 21:20:01 +0000 2018,0.1531,0.078,0.0,0.922,6
106,CBSNews,"Dramatic video shows gun-wielding Texas driver shot dead by officer:
https://t.co/ugCuwlZn1e https://t.co/hjLhaYUdmT",Sat Mar 31 21:00:02 +0000 2018,-0.6486,0.0,0.281,0.719,7
107,CBSNews,It's #FinalFour Saturday. Here's how to watch tonight's games:  https://t.co/tcYxXsxzID https://t.co/RuL0AQh7wP,Sat Mar 31 20:40:01 +0000 2018,0.0,0.0,0.0,1.0,8
108,CBSNews,"“If you don’t do something about it, then who are you? ... It can happen to anyone.” https://t.co/SGwTNrpO3a https://t.co/zrWTw5US4a",Sat Mar 31 20:20:31 +0000 2018,0.0,0.0,0.0,1.0,9
109,CBSNews,Preservationists are racing against time as they try to save a shipwreck that washed up on a Florida beach… https://t.co/6ucLe9o22o,Sat Mar 31 20:00:02 +0000 2018,0.4939,0.158,0.0,0.842,10
110,CBSNews,EPA chief Scott Pruitt rented a bedroom in a Capitol Hill condo from the wife of a Washington lobbyist from mid-Feb… https://t.co/PsztbyQx9H,Sat Mar 31 19:40:01 +0000 2018,0.0,0.0,0.0,1.0,11
111,CBSNews,U.S. soldier killed in Syria identified as 36-year-old Master Sgt. Johnathan J. Dunbar https://t.co/lWczCab2sT https://t.co/d5W5nFZavB,Sat Mar 31 19:20:01 +0000 2018,-0.6705,0.0,0.243,0.757,12
112,CBSNews,"Dallas police are looking for the person who stole several guitars from Nils Lofgren, the longtime guitarist with B… https://t.co/gQQ3kSFRoD",Sat Mar 31 19:00:02 +0000 2018,0.0,0.0,0.0,1.0,13
113,CBSNews,"Rocker Ted Nugent says the Florida students calling for gun control have ""no soul"" and are ""mushy brained children""… https://t.co/APv1zhvPoJ",Sat Mar 31 18:40:02 +0000 2018,-0.5574,0.0,0.204,0.796,14
114,CBSNews,The Mormon church injects diversity into a top leadership panel by tapping the first-ever Latin American apostle an… https://t.co/dt5Y62woDD,Sat Mar 31 18:20:01 +0000 2018,0.2023,0.096,0.0,0.904,15
115,CBSNews,Want to quit Facebook? Here's how you can download your data before you go: https://t.co/w36nCXsMX0 https://t.co/8YekMub5cq,Sat Mar 31 18:00:38 +0000 2018,0.0772,0.08,0.0,0.92,16
116,CBSNews,"Trouble is brewing for coffee lovers in California, where a judge ruled that sellers must post warnings about cance… https://t.co/9Elj3hpCHH",Sat Mar 31 17:40:01 +0000 2018,-0.128,0.14,0.202,0.658,17
117,CBSNews,"Hundreds lined streets of Cambridge on Saturday to honor Stephen Hawking, breaking into applause as the hearse carr… https://t.co/fgoC2PAgy5",Sat Mar 31 17:20:02 +0000 2018,0.7184,0.261,0.0,0.739,18
118,CBSNews,"Malala Yousafzai arrived in her hometown of Mingora, Pakistan, for the first time since a Taliban militant shot her… https://t.co/lFJRlycpAW",Sat Mar 31 17:00:30 +0000 2018,0.0,0.0,0.0,1.0,19
119,CBSNews,President Trump blasts Amazon — but his campaign used it regularly for office supplies https://t.co/pbQg5fUFDN https://t.co/iMZFZieMxT,Sat Mar 31 16:41:02 +0000 2018,0.09,0.088,0.0,0.912,20
120,CBSNews,"""Palm Sunday Massacre"" killer Christopher Thomas freed after 34 years in prison https://t.co/ZsC1kuB2Ip https://t.co/5MpwHgnDo7",Sat Mar 31 23:02:05 +0000 2018,-0.7096,0.127,0.357,0.516,21
121,CBSNews,"Family in SUV cliff plunge got death threats after viral photo, friend says
https://t.co/cENir7MTra https://t.co/SCetkL9xDq",Sat Mar 31 22:40:01 +0000 2018,-0.5423,0.146,0.306,0.548,22
122,CBSNews,A Boston firefighter has been arrested for allegedly crashing into a police vehicle and fleeing the scene just one… https://t.co/B62zSxkbvU,Sat Mar 31 22:20:01 +0000 2018,-0.4767,0.0,0.154,0.846,23
123,CBSNews,A new “Live to Tell” takes you inside the world of sex trafficking and introduces you to the heroes helping survivo… https://t.co/ppd1KO6xvv,Sat Mar 31 22:00:24 +0000 2018,0.6705,0.224,0.0,0.776,24
124,CBSNews,"A 19,000-pound space station is falling toward Earth and scientists project it may land sometime between Saturday a… https://t.co/AxP8IvUmpR",Sat Mar 31 21:40:30 +0000 2018,-0.1531,0.0,0.086,0.914,25
125,CBSNews,"They say one man's trash is another man's treasure, but for one New Yorker,  trash isn't just an inspiration… https://t.co/IVqitutorh",Sat Mar 31 21:20:01 +0000 2018,0.1531,0.078,0.0,0.922,26
126,CBSNews,"Dramatic video shows gun-wielding Texas driver shot dead by officer:
https://t.co/ugCuwlZn1e https://t.co/hjLhaYUdmT",Sat Mar 31 21:00:02 +0000 2018,-0.6486,0.0,0.281,0.719,27
127,CBSNews,It's #FinalFour Saturday. Here's how to watch tonight's games:  https://t.co/tcYxXsxzID https://t.co/RuL0AQh7wP,Sat Mar 31 20:40:01 +0000 2018,0.0,0.0,0.0,1.0,28
128,CBSNews,"“If you don’t do something about it, then who are you? ... It can happen to anyone.” https://t.co/SGwTNrpO3a https://t.co/zrWTw5US4a",Sat Mar 31 20:20:31 +0000 2018,0.0,0.0,0.0,1.0,29
129,CBSNews,Preservationists are racing against time as they try to save a shipwreck that washed up on a Florida beach… https://t.co/6ucLe9o22o,Sat Mar 31 20:00:02 +0000 2018,0.4939,0.158,0.0,0.842,30
130,CBSNews,EPA chief Scott Pruitt rented a bedroom in a Capitol Hill condo from the wife of a Washington lobbyist from mid-Feb… https://t.co/PsztbyQx9H,Sat Mar 31 19:40:01 +0000 2018,0.0,0.0,0.0,1.0,31
131,CBSNews,U.S. soldier killed in Syria identified as 36-year-old Master Sgt. Johnathan J. Dunbar https://t.co/lWczCab2sT https://t.co/d5W5nFZavB,Sat Mar 31 19:20:01 +0000 2018,-0.6705,0.0,0.243,0.757,32
